surname,strength,surname_clean,surname_eng
,5075,,Nan
'इकराम,1,इकराम,Ikram
'प्रसाद,1,प्रसाद,Prasad
'मांझी,1,मांझी,Manjhi
(5,1,,Nan
(॥0/8१,1,,Nan
),1,,Nan
*,25,,Nan
-अंसारी,10,अंसारी,Ansari
-कुमार,2,कुमार,Kumar
-प्रसाद,1,प्रसाद,Prasad
-यादव,1,यादव,Yadava
-राम,1,राम,Rama
-्मांझी,1,्मांझी,Manjhi
.सौकत,1,सौकत,Soukath
0,3,,Nan
0.,1,,Nan
00सिंह,1,सिंह,Singh
0कुमार,3,कुमार,Kumar
0डित,1,डित,Dit
0देवी,1,देवी,Devi
0पंडित,1,पंडित,Pandit
0पासवान,1,पासवान,Paswan
0प्रसाद,1,प्रसाद,Prasad
0मांज्ञी,1,मांज्ञी,Mangyi
0मांझी,3,मांझी,Manjhi
0यादव,2,यादव,Yadava
0रप्रसाद,2,रप्रसाद,Raprasad
0राजवंशी,1,राजवंशी,Rajavanshi
0ेकुमार,1,ेकुमार,Ekumar
0्रपसाद,1,्रपसाद,Rapsad
2,1,,Nan
2कुमार,1,कुमार,Kumar
2चौधरी,1,चौधरी,Choudhary
50५97,1,,Nan
58!/800000५,1,,Nan
5990,2,,Nan
5॥५507,1,,Nan
800,1,,Nan
8857,1,,Nan
8908,1,,Nan
8प54,1,प,Pa
;अंसारी,1,अंसारी,Ansari
;मिस्त्री,1,मिस्त्री,Mistri
[पंडित,1,पंडित,Pandit
[पासवान,1,पासवान,Paswan
[प्रसाद,1,प्रसाद,Prasad
]कुमार,1,कुमार,Kumar
अ,1,अ,A
अ;नसरी,3,अनसरी,Anasri
अँसरी,2,अँसरी,Ansari
अंअसारी,1,अंअसारी,Anasari
अंजर,1,अंजर,Anjar
अंजाम,1,अंजाम,Anjam
अंजार,6,अंजार,Anjar
अंजुम,5,अंजुम,Anjum
अंजू,1,अंजू,Anjoo
अंजूम,1,अंजूम,Anjum
अंतिम,1,अंतिम,Antim
अंदुलीव,2,अंदुलीव,Anduliev
अंबाज,1,अंबाज,Ambaj
अंशारी,2,अंशारी,Anshari
अंसर,1,अंसर,Ansar
अंसरी,133,अंसरी,Ansari
अंसार,7,अंसार,Ansar
अंसारखान,1,अंसारखान,Ansarkhan
अंसारि,1,अंसारि,Ansari
अंसारी,3224,अंसारी,Ansari
अअब्दुल,1,अअब्दुल,Abdul
अऊउडीन,1,अऊउडीन,Auudeen
अकबर,20,अकबर,Akbar
अकबल,1,अकबल,Akabal
अकबाल,7,अकबाल,Akbal
अकरम,18,अकरम,Akram
अकलम,1,अकलम,Akalam
अकवर,2,अकवर,Akvar
अकवाल,4,अकवाल,Akwal
अकिल,12,अकिल,Akil
अकीम,1,अकीम,Akim
अकील,12,अकील,Akil
अकुब,1,अकुब,Akub
अकेला,8,अकेला,Akela
अकैला,18,अकैला,Akaila
