surname,strength,surname_clean
,5075,
'इकराम,1,इकराम
'प्रसाद,1,प्रसाद
'मांझी,1,मांझी
(5,1,
(॥0/8१,1,
),1,
*,25,
-अंसारी,10,अंसारी
-कुमार,2,कुमार
-प्रसाद,1,प्रसाद
-यादव,1,यादव
-राम,1,राम
-्मांझी,1,्मांझी
.सौकत,1,सौकत
0,3,
0.,1,
00सिंह,1,सिंह
0कुमार,3,कुमार
0डित,1,डित
0देवी,1,देवी
0पंडित,1,पंडित
0पासवान,1,पासवान
0प्रसाद,1,प्रसाद
0मांज्ञी,1,मांज्ञी
0मांझी,3,मांझी
0यादव,2,यादव
0रप्रसाद,2,रप्रसाद
0राजवंशी,1,राजवंशी
0ेकुमार,1,ेकुमार
0्रपसाद,1,्रपसाद
2,1,
2कुमार,1,कुमार
2चौधरी,1,चौधरी
50५97,1,
58!/800000५,1,
5990,2,
5॥५507,1,
800,1,
8857,1,
8908,1,
8प54,1,प
;अंसारी,1,अंसारी
;मिस्त्री,1,मिस्त्री
[पंडित,1,पंडित
[पासवान,1,पासवान
[प्रसाद,1,प्रसाद
]कुमार,1,कुमार
अ,1,अ
अ;नसरी,3,अनसरी
अँसरी,2,अँसरी
अंअसारी,1,अंअसारी
अंजर,1,अंजर
अंजाम,1,अंजाम
अंजार,6,अंजार
अंजुम,5,अंजुम
अंजू,1,अंजू
अंजूम,1,अंजूम
अंतिम,1,अंतिम
अंदुलीव,2,अंदुलीव
अंबाज,1,अंबाज
अंशारी,2,अंशारी
अंसर,1,अंसर
अंसरी,133,अंसरी
अंसार,7,अंसार
अंसारखान,1,अंसारखान
अंसारि,1,अंसारि
अंसारी,3224,अंसारी
अअब्दुल,1,अअब्दुल
अऊउडीन,1,अऊउडीन
अकबर,20,अकबर
अकबल,1,अकबल
अकबाल,7,अकबाल
अकरम,18,अकरम
अकलम,1,अकलम
अकवर,2,अकवर
अकवाल,4,अकवाल
अकिल,12,अकिल
अकीम,1,अकीम
अकील,12,अकील
अकुब,1,अकुब
अकेला,8,अकेला
अकैला,18,अकैला
अखतर,26,अखतर
अखत्र,1,अखत्र
अख़तर,2,अख़तर
अख़लाक़,1,अख़लाक़
अख्तर,170,अख्तर
अख्तार,12,अख्तार
अग्रज,1,अग्रज
अछालमगीर,1,अछालमगीर
अजनबी,2,अजनबी
अजनल,1,अजनल
अजनवी,1,अजनवी
अजम,1,अजम
अजमद,1,अजमद
अजमल,5,अजमल
अजमल्खं,1,अजमल्खं
अजय,5,अजय
अजहर,5,अजहर
अज़िया,1,अज़िया
अज़ीज़,15,अज़ीज़
अज़ीम,4,अज़ीम
अजांर,1,अजांर
अजाज़,1,अजाज़
अजाद,13,अजाद
अजान,1,अजान
अजानी,1,अजानी
अजाम,1,अजाम
अजार,2,अजार
अजिज,3,अजिज
अजिम,1,अजिम
अजीज,67,अजीज
अजीज़,1,अजीज़
अजीम,25,अजीम
अजीमउदीन,1,अजीमउदीन
अजुला,1,अजुला
अज्जू,1,अज्जू
अज्मुल,1,अज्मुल
अताउल्लाह,1,अताउल्लाह
अताउल्‍्ला,1,अताउल््ला
अतावुल,1,अतावुल
अतीक,2,अतीक
अत्ताउल्‍्लाह,1,अत्ताउल््लाह
अदालत,1,अदालत
अदीब,1,अदीब
अन,1,अन
अनजर,2,अनजर
अनज़र,1,अनज़र
अनजार,4,अनजार
अनद,1,अनद
अनबर,1,अनबर
अनल,4,अनल
अनवर,59,अनवर
अनवारूलवहक,1,अनवारूलवहक
अनवारूलहक,1,अनवारूलहक
अनसार,2,अनसार
अनसारी,16,अनसारी
अनस्ति,1,अनस्ति
अनिल,1,अनिल
अनिश,4,अनिश
अनिशर्खों,1,अनिशर्खों
अनिसुद्दीन,1,अनिसुद्दीन
अनीश,4,अनीश
अनीस,6,अनीस
अनुग्रह,1,अनुग्रह
अनुपम,1,अनुपम
अनुल,1,अनुल
अन्जर,1,अन्जर
अन्जार,4,अन्जार
अन्तर,1,अन्तर
अन्तार,1,अन्तार
अन्बर,1,अन्बर
अन्सम,1,अन्सम
अन्साररु,1,अन्साररु
अन्सारी,13,अन्सारी
अन्‍सारी,5,अन्सारी
अन्‍्सारी,23,अन््सारी
अफजल,19,अफजल
अफज़ल,2,अफज़ल
अफजाल,1,अफजाल
अफताब,7,अफताब
अफताबुल,1,अफताबुल
अफताव,1,अफताव
अफरोज,3,अफरोज
अफशर,1,अफशर
अफसर,7,अफसर
अफसार,1,अफसार
अफ़ज़ल,5,अफ़ज़ल
अबजल,1,अबजल
अबदिन,1,अबदिन
अबबास,1,अबबास
अबरार,2,अबरार
अबसस,1,अबसस
अबास,3,अबास
अबुजर,1,अबुजर
अबुतालीवृद्वीन,1,अबुतालीवृद्वीन
अबुल,4,अबुल
अबुसालेहतावे,1,अबुसालेहतावे
अबुहसन,1,अबुहसन
अबेदीन,1,अबेदीन
अब्जम,1,अब्जम
अब्दाअली,1,अब्दाअली
अब्दीन,7,अब्दीन
अब्दुल,5,अब्दुल
अब्दुल्ला,1,अब्दुल्ला
अब्दुल्लाह,4,अब्दुल्लाह
अब्दृदीन,1,अब्दृदीन
अब्बास,35,अब्बास
अब्बृतालिव,1,अब्बृतालिव
अब्राहिम,1,अब्राहिम
अब्वास,1,अब्वास
अभय,1,अभय
अभिषेक,2,अभिषेक
अमजद,5,अमजद
अमज़द,3,अमज़द
अमजाद,1,अमजाद
अमन,1,अमन
अमर,8,अमर
अमरेन्द्र,1,अमरेन्द्र
अमष्ट,4,अमष्ट
अमहात॑,1,अमहात॑
अमानुलाह,1,अमानुलाह
अमानुल्ला,1,अमानुल्ला
अमानुल्लाह,1,अमानुल्लाह
अमिन,4,अमिन
अमीन,15,अमीन
अमीनउदीन,1,अमीनउदीन
अमीम,1,अमीम
अमीर,3,अमीर
अम्मानुलाह,1,अम्मानुलाह
अम्लिक,1,अम्लिक
अयाज,4,अयाज
अयुब,15,अयुब
अयुबउधीन,1,अयुबउधीन
अयुव,1,अयुव
अयूब,17,अयूब
अयोध्यासाव,1,अयोध्यासाव
अय्याज,2,अय्याज
अय्याज़,1,अय्याज़
अय्यूब,1,अय्यूब
अरफत,1,अरफत
अरफान,1,अरफान
अरमान,26,अरमान
अरविंद,1,अरविंद
अरविन्द,2,अरविन्द
अरशद,9,अरशद
अरशाद,5,अरशाद
अरसद,4,अरसद
अरसाड,1,अरसाड
अरहाद,1,अरहाद
अरिम,1,अरिम
