Assembly_Segment_No,Assembly_Segment_Name,Booth_No,Booth_Name
238, Gobindapur,1, Utkramit Madhya Vidyalaya Devanpura
238, Gobindapur,2, Utkramit Madhya Vidyalaya Pachamba Urdu Uttari Bhag
238, Gobindapur,3, Utkramit Madhya Vidhalaya Pachamba Urdu Dakshini Bhag)
238, Gobindapur,4, Utkramit Madhya Vidyalaya Pachohiya Urdu
238, Gobindapur,5, Prathamik Vidyalaya Khargu Bigaha
238, Gobindapur,6, Harijan Samudayik Vikash Bhawan Rajavari Tola Ohari
238, Gobindapur,7, Madhyamik Vidyalaya Ohari
238, Gobindapur,8, Madhya Vidyalaya Nazardih
238, Gobindapur,9, Utkarmit Madhya Vidhalaya Nadoura Pashichami Bhag
238, Gobindapur,10, Utkramit Madhya Vidyalaya Nadoura Poorvi Bhag
238, Gobindapur,11, Prathamik Vidyalaya Goythadih
238, Gobindapur,12, Prathamik Vidyalaya Chorvar
238, Gobindapur,13, Utkramit Madhya Vidyalaya Vijayatod Utari Bhag
238, Gobindapur,14, Utkramit Madhya Vidhalaya Vijayatand Dakshini Bhag
238, Gobindapur,15, Prathamik Vidhalaya Hezmachak
238, Gobindapur,16, Prathamik Vidhalaya Jalalpur
238, Gobindapur,17, Utkramit Madhya Vidyalaya Samaraitha
238, Gobindapur,18, Madhya Vidyalaya Samharigadh Bayan Bhag
238, Gobindapur,19, Madhya Vidyalaya Samharigadha Dayan Bhag
238, Gobindapur,20, Panchayat Bhawan Samharigadh
238, Gobindapur,21, Prathamik Vidyalaya Gevali Vigaha
238, Gobindapur,22, Anganbadi Kendra Adampur Naya Bhawan
238, Gobindapur,23, Utkramit Madhya Vidyalaya Rustampur
238, Gobindapur,24, Prathamik Vidyalaya Beladih
238, Gobindapur,25, Utkramit Madhya Vidyalaya Morma Purvi Bhag
238, Gobindapur,26, Utkramit Madhya Vidyalaya Morma Pashchimi Bhag
238, Gobindapur,27, Utkramit Madhya Vidyalaya Santhe Poorvi Bhag
238, Gobindapur,28, Utkramit Madhya Vidhalaya Santhe Pashchimi Bhag
238, Gobindapur,29, Utkramit Madhya Vidyalaya Bajavara
238, Gobindapur,30, Utkramit Madhya Vidyalaya Ghorahi
238, Gobindapur,31, Prathamik Vidyalaya Sheikhpura
238, Gobindapur,32, Prathamik Vidhalaya Roh Hindi Balak Pashichami Bhag Kamara
238, Gobindapur,33, Prathamik Vidyalaya Roh Hindi Balak Pashchimi Bhag (Kamara
238, Gobindapur,34, Prathamik Vidhalaya Roh Hindi Balak Poorvi Bhag Kamara
238, Gobindapur,35, Prathamik Vidyalaya Roh Hindi Balak Purvi Bhag Kamara
238, Gobindapur,36, Prathamik Vidyalaya Roh Hindi Balak Kamara
238, Gobindapur,37, Inter Vidyalaya Roh Pashchim Bhag
238, Gobindapur,38, Inter Vidhalaya Roh Naya Bhawan Utari Bhag
238, Gobindapur,39, Inter Vidhalaya Roh Poorvi Bhag
238, Gobindapur,40, Inter Vidhalaya Roh Naya Bhawan Dakshini Bhag
238, Gobindapur,41, Prathamik Vidhalaya Utari Bhag Maniyochak
238, Gobindapur,42, Prathamik Vidhalaya Dakshini Bhag Maniyochak
238, Gobindapur,43, Prathamik Vidhalaya Sitapur Banshi
238, Gobindapur,44, Utkramit Madhya Vidhalaya Ratoi
238, Gobindapur,45, Utkramit Madhya Vidhalaya Madra Poorvi Bhag
238, Gobindapur,46, Utkramit Madhya Vidhalaya Madra Pashchimi Bhag
238, Gobindapur,47, Utkramit Madhya Vidhalaya Madra Madhya Bhag
238, Gobindapur,48, Prathamik Vidhalaya Maharava Baya Bhag
238, Gobindapur,49, Prathamik Vidyalaya Maharava (Dayan Bhag)
238, Gobindapur,50, Utkramit Madhya Vidyalaya Urdu Maharava
238, Gobindapur,51, Azad Pustakalay Marui Kamara
238, Gobindapur,52, Azad Pustakalay Marui Kamara
238, Gobindapur,53, Madarasa Araviya Mohammadiya Marui Dayo Bhag
238, Gobindapur,54, Madarasa Araviya Mohamadiya Marui (Bayan Bhag
238, Gobindapur,55, Madhya Vidhalaya Marui Poorvi Bhag
238, Gobindapur,56, Madhya Vidyalaya Marui Naya Bhawan Pashchimi Bhag
238, Gobindapur,57, Utkramit Madhya Vidyalaya Sundara Purvi Bhag
238, Gobindapur,58, Utkramit Madhya Vidyalaya Sundara Pashchimi Bhag
238, Gobindapur,59, Utkramit Madhya Vidhalaya Sundara Madhya Bhag
238, Gobindapur,60, Prathamik Vidhalaya Durgapur Poorvi Bhag
238, Gobindapur,61, Prathamik Vidyalaya Durgapur (Pashchimi Bhag)
238, Gobindapur,62, Rajakiy Madhya Vidhalaya Kunj Poorvi Bhag
238, Gobindapur,63, Rajakiy Madhya Vidhalaya Kunj Pashichami Bhag
238, Gobindapur,64, Prathamik Vidyalaya Kunjaila
238, Gobindapur,65, Prathamik Vidhalaya Kumaharavau Bigaha (Hindi)
238, Gobindapur,66, Utkramit Madhya Vidyalaya Urdu Kumharavau (Pashchimi Bhag)
238, Gobindapur,67, Utkramit Madhya Vidyalaya Urdu Kumharavan (Poorvi Bhag)
238, Gobindapur,68, Utkramit Madhya Vidyalaya Tajpur
238, Gobindapur,69, Utkramit Madhya Vidyalaya Utari Bhag Dirmobara
238, Gobindapur,70, Utkramit Madhya Vidhalaya Dakshini Bhag Dirmovara
238, Gobindapur,71, Utkramit Madhya Vidyalaya Kunda
238, Gobindapur,72, Madhya Vidyalaya Dumri Pashchimi Bhag
238, Gobindapur,73, Madhya Vidhalaya Dumri Poorvi Bhag
238, Gobindapur,74, Anganbadi Kendra Ghazipur
238, Gobindapur,75, Prathamik Vidyalaya Karanpur
238, Gobindapur,76, Prathamik Vidhalaya Bhalua
238, Gobindapur,77, Prathamik Vidyalaya Kathavan
238, Gobindapur,78, Utkramit Madhya Vidyalaya Shikharpur
238, Gobindapur,79, Prathamik Vidyalaya Jafra
238, Gobindapur,80, Madhya Vidhalaya Baghour
238, Gobindapur,81, Prathamik Vidyalaya Vishnunagar
238, Gobindapur,82, Prathamik Vidyalaya Anaila
238, Gobindapur,83, Prathamik Vidyalaya Pratappur
238, Gobindapur,84, Madhya Vidyalaya Barapandeya
238, Gobindapur,85, Prathamik Vidyalaya Jhakhaur
238, Gobindapur,86, Utkramit Madhya Vidyalaya Bhatta(Poorvi Bhag)
238, Gobindapur,87, Utkramit Madhya Vidhalaya Bhatta (Pashchimi Bhag)
238, Gobindapur,88, Utkramit Madhya Vidyalaya Katahara
238, Gobindapur,89, Prathamik Vidyalaya Kazichak (Siur)
238, Gobindapur,90, Madhyamik Vidyalaya Siur Poorvi Bhag
238, Gobindapur,91, Madhyamik Vidyalaya Siur Pashchimi Bhag
238, Gobindapur,92, Madhyamik Vidhalaya Siur Dakshin Bhag
238, Gobindapur,93, Utkramit Madhya Vidyalaya Degma
