Assembly_Segment_No,Assembly_Segment_Name,Booth_No,Booth_Name
238,गोबिन्दपुर,1,उत्क्रमित मध्य विद्यालय देवनपुरा
238,गोबिन्दपुर,2,उत्क्रमित मध्य विद्यालय पचम्बा उर्दू_ उत्‍तरी भाग
238,गोबिन्दपुर,3,उत्क्रमित मध्य विधालय पचम्बा_ उर्दू ( दक्षिणी भाग)
238,गोबिन्दपुर,4,उत्‍क्रमित मध्‍य विद्यालय_ पचोहिया उर्दू
238,गोबिन्दपुर,5,प्राथमिक विद्यालय खरगु बिगहा
238,गोबिन्दपुर,6,हरिजन सामुदायिक विकाश भवन राजवारी टोला ओहारी
238,गोबिन्दपुर,7,माध्यमिक विद्यालय ओहारी
238,गोबिन्दपुर,8,मध्य विद्यालय नजरडीह
238,गोबिन्दपुर,9,उत्कार्मित मध्य विधालय नदौरा पशिचमी भाग
238,गोबिन्दपुर,10,उत्क्रमित मध्य विद्यालय नदौरा पूर्वी भाग
238,गोबिन्दपुर,11,प्राथमिक विद्यालय गोयठाडीह
238,गोबिन्दपुर,12,प्राथमिक विद्यालय_ चोरवर
238,गोबिन्दपुर,13,उत्क्रमित मध्य विद्यालय_ विजयटॉड उतरी भाग
238,गोबिन्दपुर,14,उत्क्रमित मध्य विधालय विजयतांड दक्षिणी भाग
238,गोबिन्दपुर,15,प्राथमिक विधालय _हेजमाचक
238,गोबिन्दपुर,16,प्राथमिक विधालय जलालपुर
238,गोबिन्दपुर,17,उत्क्रमित मध्य विद्यालय_ समरैठा
238,गोबिन्दपुर,18,मध्य विद्यालय_ सम्हरीगढ बायां भाग
238,गोबिन्दपुर,19,मध्य विद्यालय सम्हारीगढ़ दायाँ भाग
238,गोबिन्दपुर,20,पंचायत भवन सम्हरीगढ
238,गोबिन्दपुर,21,प्राथमिक विद्यालय_गेवाली विगहा
238,गोबिन्दपुर,22,आंगनबाडी केन्‍द्र आदमपुर नया भवन
238,गोबिन्दपुर,23,उत्क्रमित मध्य विद्यालय_ रूस्तमपुर
238,गोबिन्दपुर,24,प्राथमिक विद्यालय_ बेलडीह
238,गोबिन्दपुर,25,उत्क्रमित मध्य विद्यालय_ मोरमा पुर्वी भाग
238,गोबिन्दपुर,26,उत्क्रमित मध्य विद्यालय_ मोरमा पश्चिमी भाग
238,गोबिन्दपुर,27,उत्क्रमित मध्य विद्यालय_ साँथे पूर्वी भाग
238,गोबिन्दपुर,28,उत्क्रमित मध्य विधालय _सांथे पश्चिमी भाग
238,गोबिन्दपुर,29,उत्क्रमित मध्य विद्यालय बजवारा
238,गोबिन्दपुर,30,उत्क्रमित मध्य विद्यालय_ घोराही
238,गोबिन्दपुर,31,प्राथमिक विद्यालय_ शेखपुरा
238,गोबिन्दपुर,32,प्राथमिक विधालय रोह हिंदी बालक पशिचमी भाग ( कमरा न0 1 )
238,गोबिन्दपुर,33,प्राथमिक विद्यालय_ रोह हिन्‍दी बालक पश्चिमी भाग (कमरा न0 2 )
238,गोबिन्दपुर,34,प्राथमिक विधालय रोह हिन्‍दी बालक पूर्वी भाग कमरा न. ४
238,गोबिन्दपुर,35,प्राथमिक विद्यालय_ रोह हिन्‍दी बालक पुर्वी भाग ( कमरा न0 5)
238,गोबिन्दपुर,36,प्राथमिक विद्यालय_ रोह हिन्‍दी बालक कमरा न0
238,गोबिन्दपुर,37,इंटर विद्यालय रोह पश्चिम भाग
238,गोबिन्दपुर,38,इण्‍टर विधालय रोह नया भवन उतरी भाग
238,गोबिन्दपुर,39,इंटर विधालय _रोह पूर्वी भाग
238,गोबिन्दपुर,40,इंटर विधालय रोह _नया भवन दक्षिणी भाग
238,गोबिन्दपुर,41,प्राथमिक विधालय उतरी भाग _मनियोचक
238,गोबिन्दपुर,42,प्राथमिक विधालय दक्षिणी भाग _मनियोचक
238,गोबिन्दपुर,43,प्राथमिक विधालय सीतापुर _बंशी चक
238,गोबिन्दपुर,44,उत्क्रमित मध्य विधालय _रतोई
238,गोबिन्दपुर,45,उत्क्रमित मध्य विधालय _मडरा पूर्वी भाग
238,गोबिन्दपुर,46,उत्क्रमित मध्य विधालय _मडरा पश्चिमी भाग
238,गोबिन्दपुर,47,उत्क्रमित मध्य विधालय _मडरा मध्य भाग
238,गोबिन्दपुर,48,प्राथमिक विधालय महारावा बाया भाग
238,गोबिन्दपुर,49,प्राथमिक विद्यालय _महरावा (दायां भाग)
238,गोबिन्दपुर,50,उत्क्रमित मध्य विद्यालय_ उर्दू महरावॉ
238,गोबिन्दपुर,51,आजाद पुस्‍तकालय मरूई कमरा न0
238,गोबिन्दपुर,52,आजाद पुस्तकालय मरूई कमरा न0
238,गोबिन्दपुर,53,मदरसा अरविया मोहम्मदिया_ मरूई दायॉ भाग
238,गोबिन्दपुर,54,मदरसा अरविया मोहमदिया_ मरुई (बायां भाग )
238,गोबिन्दपुर,55,मध्य विधालय मरुई पूर्वी भाग
238,गोबिन्दपुर,56,मध्‍य विद्यालय मरूई नया भवन पश्‍चिमी भाग
238,गोबिन्दपुर,57,उत्क्रमित मध्य विद्यालय सुन्दरा पुर्वी भाग
238,गोबिन्दपुर,58,उत्क्रमित मध्य विद्यालय_ सुन्दरा पश्चिमी भाग
238,गोबिन्दपुर,59,उत्क्रमित मध्य विधालय _सुंदरा मध्य भाग
238,गोबिन्दपुर,60,प्राथमिक विधालय दुर्गापुर पूर्वी भाग
238,गोबिन्दपुर,61,प्राथमिक विद्यालय_ दुर्गापुर (पश्‍चिमी भाग)
238,गोबिन्दपुर,62,राजकीय मध्य विधालय कुंज पूर्वी भाग
238,गोबिन्दपुर,63,राजकीय मध्य विधालय कुंज पशिचमी भाग
238,गोबिन्दपुर,64,प्राथमिक विद्यालय कुंजैला
238,गोबिन्दपुर,65,प्राथमिक विधालय कुमहरावॉ बिगहा (हिन्‍दी)
238,गोबिन्दपुर,66,उत्‍क्रमित मध्‍य विद्यालय उर्दू कुम्‍हरावॉ (पश्‍चिमी भाग)
238,गोबिन्दपुर,67,उत्क्रमित मध्य विद्यालय_ उर्दू कुम्हरावाँ (पूर्वी भाग)
238,गोबिन्दपुर,68,उत्क्रमित मध्य विद्यालय ताजपुर
238,गोबिन्दपुर,69,उत्क्रमित मध्य विद्यालय_ उतरी भाग दिरमोबारा
238,गोबिन्दपुर,70,उत्क्रमित मध्य विधालय दक्षिणी भाग दिरमोवारा
238,गोबिन्दपुर,71,उत्क्रमित मध्य विद्यालय_ कुण्डा
238,गोबिन्दपुर,72,मध्य विद्यालय डुमरी पश्चिमी भाग
238,गोबिन्दपुर,73,मध्य विधालय डुमरी पूर्वी भाग
238,गोबिन्दपुर,74,आंगनबाडी केन्‍द्र_ गाजीपुर
238,गोबिन्दपुर,75,प्राथमिक विद्यालय_ करणपुर
238,गोबिन्दपुर,76,प्राथमिक विधालय भलुआ
238,गोबिन्दपुर,77,प्राथमिक विद्यालय_ कठवन
238,गोबिन्दपुर,78,उत्क्रमित मध्य विद्यालय_ शिखरपुर
238,गोबिन्दपुर,79,प्राथमिक विद्यालय जफरा
238,गोबिन्दपुर,80,मध्य विधालय बघौर
238,गोबिन्दपुर,81,प्राथमिक विद्यालय_ विष्‍णुनगर
238,गोबिन्दपुर,82,प्राथमिक विद्यालय_ अनैला
238,गोबिन्दपुर,83,प्राथमिक विद्यालय_ प्रतापपुर
238,गोबिन्दपुर,84,मध्य विद्यालय बारापण्डेया
