Title,Caste,Religion,Count_of_Voter_ID
यादव,Yadav,N,45506
सिंह,Singh,N,32156
महतो,Mahto,N,25655
राम,Ram,N,20313
मांझी,Manjhi,N,15120
साव,Saw,N,13146
पासवान,Paswan,N,9573
प्रसाद,Prasad,N,9328
मिस्त्री,Mistri,N,8463
चौधरी,Chaudhari,N,7751
मियाँ,Miyan,M,6683
पंडित,Pandit,N,6097
कुमार,Kumar,N,5450
ठाकुर,Thakur,N,4323
रविदास,Ravidas,N,4276
दास,Das,N,3943
राजवंशी,Rajvanshi,N,3893
चौहान,Chauhan,N,3125
शर्मा,Sharma,N,2889
अंसारी,Ansari,M,2369
खान,Khan,M,1886
मांज्ञी,Manjhi,N,1876
लाल,Lal,N,1859
उद्दीन,Uddin,N,1833
मियां,Miyan,M,1780
आलम,Alam,M,1658
राऊत,Raut,N,1586
माझी,Manjhi,N,1551
मोची,Mochi,N,1513
मंडल,Mandal,N,1464
उदीन,Uddin,M,1463
राय,Rai,N,1418
मिया,Miyan,M,1403
खाँ,Khan,M,1372
पाण्डेय,Pande,N,1352
हुसैन,Hussain,M,1328
रजक,Rajak,N,1293
तुरिया,Turia,N,1265
शाह,Shah,M,1231
अली,Ali,M,1172
अहमद,Ahmad,M,1045
पांडे,Pande,N,985
माँझी,Manjhi,N,829
पसाद,Prasad,N,669
रावत,raut,N,634
राउत,Raut,N,596
चौरसिया,Chaurasia,N,565
राजबंशी,Rajvanshi,N,537
खा,Khan,M,479
पांडेय,Pande,N,478
रजवार,Rajwar,N,458
विश्वकर्मा,Vishwakarma,N,428
मिंया,Miyan,M,424
महथा,Mahantha,N,383
खां,Khan,M,374
वंशी,Rajvanshi,N,362
हसन,Hussain,M,360
गोप,Gope,N,358
चौघरी,Chaudhari,N,352
साह,Sahu,N,329
माली,Mali,N,319
देवी,Devi,N,317
हक,Haq,M,316
महाराज,Maharaj,N,299
मांझ्ञी,Manjhi,N,278
मौची,Manjhi,N,274
रहमान,Rahman,M,245
पाण्डे,Pande,N,241
अंसरी,Ansari,M,230
जमादार,Jamadar,N,228
रसीद,Rashid,M,221
मालाकार,Malakar,N,213
सुधारी,Sudhari,N,213
वर्मा,Verma,N,201
रजाक,Rajak,N,190
मोहम्मद,Mohammad,M,188
मोदी,Modi,N,186
सिन्हा,Sinha,N,176
भुला,Bhula,N,174
केवट,Kevat,N,170
भगत,Bhagat,N,170
माझ्ञी,Manjhi,N,169
गुप्ता,Gupta,N,167
मिश्रा,Mishra,N,159
खलिफा,Khalifa,M,153
गनी,Gani,N,151
पासी,Pasi,N,151
भूला,Bhula,N,151
वट,Kevat,N,150
हमीद,Hamid,M,141
अजीज,Aziz,M,140
लतीफ,Latif,M,140
रसुल,Rasul,M,139
सिंग,Sagi,N,139
मलिक,Mallik,N,132
कैवट,Kevat,N,127
मजीद,Mazid,M,122
हनीफ,Hanif,M,122
राज,Raj,N,115
सकुर,Sakur,N,110
धोबी,Dhobi,N,109
माहतो,Mahto,N,107
खलील,Khalil,M,103
पसी,Pasi,N,102
मनान,Manan,N,102
मोहमद,Mohammad,M,102
ठठेरा,Thathera,N,101
हलीम,Halim,M,99
गफार,Gaffar,M,95
यासीन,Yasin,M,95
मेहता,Mehta,N,94
सुभान,Subhan,N,93
माज्ञी,Manjhi,N,92
मॉँझी,Manjhi,N,92
मंणाझी,Manjhi,N,91
रशीद,Rashid,M,90
स्वर्णकार,Swarnakar,N,89
डोम,Dom,N,88
कंसारी,Kansari,M,87
माहतों,Mahto,N,85
राजबन्सी,Rajvanshi,N,85
सतार,Satar,N,85
सिह,Sahi,N,85
बंशी,Vanshi,N,84
पाठक,Pathak,N,83
बक्स,Baksh,N,81
माँज्ञी,Manjhi,N,80
वंसी,Vanshi,N,80
महतौ,Mahto,N,79
इसहाक,Ishaq,N,76
गिरी,Gari,N,76
अऊउडीन,Alauddin,M,75
गोस्वामी,Goswami,N,75
महराज,Maharaj,N,74
सोनार,Sonar,N,74
करीम,Karim,M,73
तांती,Tato,N,73
रफीक,Rafiq,M,73
सदीक,Sadiq,M,73
उस्मान,Usman,M,72
त्रिपाठी,Tripathi,N,72
कमलेश,Kamlesh,N,71
खातून,Khatun,M,71
शमीम,Shamim,M,71
हासिम,Hasmi,M,71
कैवत,Kevat,N,66
ताती,Tato,N,66
नारायण,Narayan,N,66
मुसहर,Mushar,N,65
साह.,Sahu,N,65
ताति,Tato,N,63
जब्बार,Zabbar,M,62
जमाल,Jamaal,M,62
महती,Mahto,N,62
तिवारी,Tiwari,N,60
झा,Jha,N,59
ठठैरा,Thathera,N,59
सोरेन,Soren,N,59
इस्तियाक,Istiyaq,M,58
खलीफा,Khalifa,M,58
गफुर,Gaffar,M,58
राजवंसी,Rajvanshi,N,58
राजवार,Rajvar,N,58
हजारी,Hazari,N,58
तॉती,Tato,N,57
रऊफ,Rauf,N,57
तुरीय,Turia,N,56
बरई,Barhi,N,56
उपाध्याय,Upadhyay,N,55
कलाम,Kalam,M,54
मुस्लिम,Muslim,M,54
युसुफ,Yusuf,M,54
राज्वंशी,Rajvanshi,N,54
असलम,Aslam,M,53
गफूर,Gafur,M,53
तवारक,Tavarak,M,53
नेजाम,Nizam,M,52
नोनियाँ,Noniya,N,52
महातो,Mahto,N,52
महृथा,Mahantha,N,52
कैसर,Kaiser,N,51
सिंह',Sahi,N,51
हलवाई,Halwai,N,51
खादिम,Khadmi,M,50
नौशाद,Naushad,M,50
शमशैर,Shamsher,M,50
अरमान,Arman,M,49
इदरीस,Idris,N,49
गौस्वामी,Goswami,N,49
रंजन,Ranjan,N,49
वहीद,Wahid,M,49
शकुर,Shakur,N,49
सहनावाज,Shahnavaz,M,49
टेलर्‌,Tailor,N,48
ब्रिचा,Vricha,N,48
रविदाश,Ravidas,N,48
रहीम,Rahim,N,48
वासिम,Wasim,M,48
शरण,Sharan,N,48
तुरीया,Turia,N,47
पण्डित,Pandit,N,47
मरहम,Marham,N,47
मालिक,Mallik,N,47
मॉझी,Manjhi,N,47
रवि,Ravidas,N,47
शाहनवाज़,Shahnavaz,M,47
असरफ,Ashraf,M,46
नट,nat,N,46
हजाम,Hazam,N,46
अख्तर,Akhtar,M,45
इसराईल,Israel,N,45
कलीम,Kalim,M,45
दैवी,Devi,N,45
फादर,Father,N,45
हबीब,Habib,M,45
उल्लाह,Allah,M,44
फरीद,Farid,M,44
मरान्डी,Marandi,N,44
मिश्त्री,Mistri,N,44
मिश्री,Mistri,N,44
ट्ए,Others,N,43
फैजुल्लाह,Faizullah,M,43
खैर,Khair,N,42
गफ्फार,Gaffar,M,42
तौहीद,Tauhid,M,42
दयाल,Dayal,N,42
मदहुम,Madhum,N,42
मराडी,Marandi,N,42
लहेरी,Laheri,N,41
हैदर,Haider,M,41
कमरूउद्दीन,Kamaruddin,M,40
खुर्शीद,Khursheed,M,40
रबिदास,Ravidas,N,40
लईक,Laik,N,40
विश्वाकर्मा,Vishwakarma,N,40
शफीक,Shafiq,M,40
